attack,alpha,round,acc,f1
lfp,0.05,16,96.45,0.0
lfp,0.05,17,96.45,0.0
lfp,0.05,18,96.45,0.0
lfp,0.05,19,96.45,0.0
lfp,0.05,20,96.45,0.0
lfp,0.05,21,96.45,0.0
lfp,0.05,22,96.45,0.0
lfp,0.05,23,96.45,0.0
lfp,0.05,24,96.45,0.0
lfp,0.05,25,96.45,0.0
lfp,0.05,26,96.45,0.0
lfp,0.05,27,96.45,0.0
lfp,0.05,28,96.45,0.0
lfp,0.05,29,96.45,0.0
lfp,0.05,30,96.45,0.0
lfp,0.05,31,96.45,0.0
lfp,0.05,32,96.45,0.0
lfp,0.05,33,96.45,0.0
lfp,0.05,34,96.45,0.0
lfp,0.05,35,96.45,0.0
lfp,0.05,36,96.45,0.0
lfp,0.05,37,96.45,0.0
lfp,0.05,38,96.45,0.0
lfp,0.05,39,96.45,0.0
lfp,0.05,40,96.45,0.0
lfp,0.05,41,96.45,0.0
lfp,0.05,42,96.45,0.0
lfp,0.05,43,96.45,0.0
lfp,0.05,44,96.45,0.0
lfp,0.05,45,96.45,0.0
lfp,0.05,46,96.45,0.0
lfp,0.05,47,96.45,0.0
lfp,0.05,48,96.45,0.0
lfp,0.05,49,96.45,0.0
lfp,0.1,0,59.2,6.85
lfp,0.1,1,68.4,8.41
lfp,0.1,2,78.5,10.79
lfp,0.1,3,84.2,11.73
lfp,0.1,4,88.3,13.97
lfp,0.1,5,90.5,5.94
lfp,0.1,6,93.5,1.52
lfp,0.1,7,95.45,0.0
lfp,0.1,8,96.3,0.0
lfp,0.1,9,96.3,0.0
lfp,0.1,10,96.45,0.0
lfp,0.1,11,96.45,0.0
lfp,0.1,12,96.45,0.0
lfp,0.1,13,96.45,0.0
lfp,0.1,14,96.45,0.0
lfp,0.1,15,96.45,0.0
lfp,0.1,16,96.45,0.0
lfp,0.1,17,96.45,0.0
lfp,0.1,18,96.45,0.0
lfp,0.1,19,96.45,0.0
lfp,0.1,20,96.45,0.0
lfp,0.1,21,96.45,0.0
lfp,0.1,22,96.45,0.0
lfp,0.1,23,96.45,0.0
lfp,0.1,24,96.45,0.0
lfp,0.1,25,96.45,0.0
lfp,0.1,26,96.45,0.0
lfp,0.1,27,96.45,0.0
lfp,0.1,28,96.45,0.0
lfp,0.1,29,96.45,0.0
lfp,0.1,30,96.45,0.0
lfp,0.1,31,96.45,0.0
lfp,0.1,32,96.45,0.0
lfp,0.1,33,96.45,0.0
lfp,0.1,34,96.45,0.0
lfp,0.1,35,96.45,0.0
lfp,0.1,36,96.45,0.0
lfp,0.1,37,96.45,0.0
lfp,0.1,38,96.45,0.0
lfp,0.1,39,96.45,0.0
lfp,0.1,40,96.45,0.0
lfp,0.1,41,96.45,0.0
lfp,0.1,42,96.45,0.0
lfp,0.1,43,96.45,0.0
lfp,0.1,44,96.45,0.0
lfp,0.1,45,96.45,0.0
lfp,0.1,46,96.45,0.0
lfp,0.1,47,96.45,0.0
lfp,0.1,48,96.45,0.0
lfp,0.1,49,96.45,0.0
lfp,0.2,0,64.05,7.46
lfp,0.2,1,72.75,9.32
lfp,0.2,2,80.65,10.62
lfp,0.2,3,85.8,12.88
lfp,0.2,4,88.9,15.27
lfp,0.2,5,93.0,7.89
lfp,0.2,6,94.4,0.0
lfp,0.2,7,95.7,0.0
lfp,0.2,8,96.25,0.0
lfp,0.2,9,96.3,0.0
lfp,0.2,10,96.45,0.0
lfp,0.2,11,96.45,0.0
lfp,0.2,12,96.45,0.0
lfp,0.2,13,96.45,0.0
lfp,0.2,14,96.45,0.0
lfp,0.2,15,96.45,0.0
lfp,0.2,16,96.45,0.0
lfp,0.2,17,96.45,0.0
lfp,0.2,18,96.45,0.0
lfp,0.2,19,96.45,0.0
lfp,0.2,20,96.45,0.0
lfp,0.2,21,96.45,0.0
