attack,alpha,round,acc,f1
grad-p,1.0,43,98.6,50.0
grad-p,1.0,44,98.6,50.0
grad-p,1.0,45,98.6,50.0
grad-p,1.0,46,98.55,49.12
grad-p,1.0,47,98.55,49.12
grad-p,1.0,48,98.6,51.72
grad-p,1.0,49,98.55,49.12
spf,0.01,0,33.75,5.42
spf,0.01,1,65.9,7.08
spf,0.01,2,79.95,8.66
spf,0.01,3,72.65,8.99
spf,0.01,4,96.0,18.37
spf,0.01,5,97.9,0.0
spf,0.01,6,97.9,0.0
spf,0.01,7,97.9,0.0
spf,0.01,8,97.9,0.0
spf,0.01,9,97.9,0.0
spf,0.01,10,97.9,0.0
spf,0.01,11,97.9,0.0
spf,0.01,12,97.9,0.0
spf,0.01,13,97.9,0.0
spf,0.01,14,97.9,0.0
spf,0.01,15,97.9,0.0
spf,0.01,16,97.9,0.0
spf,0.01,17,97.9,0.0
spf,0.01,18,97.9,0.0
spf,0.01,19,97.9,0.0
spf,0.01,20,97.9,0.0
spf,0.01,21,97.9,0.0
spf,0.01,22,97.9,0.0
spf,0.01,23,97.9,0.0
spf,0.01,24,97.9,0.0
spf,0.01,25,97.9,0.0
spf,0.01,26,97.9,0.0
spf,0.01,27,97.9,0.0
spf,0.01,28,97.9,0.0
spf,0.01,29,97.9,0.0
spf,0.01,30,97.9,0.0
spf,0.01,31,97.9,0.0
spf,0.01,32,97.9,0.0
spf,0.01,33,97.9,0.0
spf,0.01,34,97.9,0.0
spf,0.01,35,97.9,0.0
spf,0.01,36,97.9,0.0
spf,0.01,37,97.9,0.0
spf,0.01,38,97.9,0.0
spf,0.01,39,97.9,0.0
spf,0.01,40,97.9,0.0
spf,0.01,41,97.9,0.0
spf,0.01,42,97.9,0.0
spf,0.01,43,97.9,0.0
spf,0.01,44,97.9,0.0
spf,0.01,45,97.9,0.0
spf,0.01,46,97.9,0.0
spf,0.01,47,97.9,0.0
spf,0.01,48,97.9,0.0
spf,0.05,0,38.65,5.54
spf,0.05,1,56.25,6.42
spf,0.05,2,76.05,9.11
spf,0.05,3,82.45,10.23
spf,0.05,4,94.35,20.98
spf,0.05,5,98.0,16.67
spf,0.05,6,97.95,4.65
spf,0.05,7,97.9,0.0
spf,0.05,8,97.9,0.0
spf,0.05,9,97.9,0.0
spf,0.05,10,97.9,0.0
spf,0.05,11,97.9,0.0
spf,0.05,12,97.9,0.0
spf,0.05,13,97.9,0.0
spf,0.05,14,97.9,0.0
spf,0.05,15,97.9,0.0
spf,0.05,16,97.9,0.0
spf,0.05,17,97.9,0.0
spf,0.05,18,97.9,0.0
spf,0.05,19,97.9,0.0
spf,0.05,20,97.9,0.0
spf,0.05,21,97.9,0.0
spf,0.05,22,97.9,0.0
spf,0.05,23,97.9,0.0
spf,0.05,24,97.9,0.0
spf,0.05,25,97.9,0.0
spf,0.05,26,97.9,0.0
spf,0.05,27,97.9,0.0
spf,0.05,28,97.9,0.0
spf,0.05,29,97.9,0.0
spf,0.05,30,97.9,0.0
spf,0.05,31,97.9,0.0
spf,0.05,32,97.9,0.0
spf,0.05,33,97.9,0.0
spf,0.05,34,97.9,0.0
spf,0.05,35,97.9,0.0
spf,0.05,36,97.9,0.0
spf,0.05,37,97.9,0.0
spf,0.05,38,97.9,0.0
spf,0.05,39,97.9,0.0
spf,0.05,40,97.9,0.0
spf,0.05,41,97.9,0.0
spf,0.05,42,97.9,0.0
spf,0.05,43,97.9,0.0
spf,0.05,44,97.9,0.0
spf,0.05,45,97.9,0.0
spf,0.05,46,97.9,0.0
spf,0.05,47,97.9,0.0
spf,0.05,48,97.9,0.0
spf,0.05,49,97.9,0.0
spf,0.1,0,31.0,5.35
spf,0.1,1,47.7,6.27
spf,0.1,2,64.3,7.75
spf,0.1,3,83.05,11.02
spf,0.1,4,93.0,17.65
spf,0.1,5,97.8,29.03
spf,0.1,6,98.0,16.67
spf,0.1,7,97.9,0.0
spf,0.1,8,97.9,0.0
spf,0.1,9,97.9,0.0
spf,0.1,10,97.9,0.0
spf,0.1,11,97.9,0.0
spf,0.1,12,97.9,0.0
spf,0.1,13,97.9,0.0
spf,0.1,14,97.9,0.0
spf,0.1,15,97.9,0.0
spf,0.1,16,97.9,0.0
spf,0.1,17,97.9,0.0
spf,0.1,18,97.9,0.0
spf,0.1,19,97.9,0.0
spf,0.1,20,97.9,0.0
spf,0.1,21,97.9,0.0
spf,0.1,22,97.9,0.0
spf,0.1,23,97.9,0.0
spf,0.1,24,97.9,0.0
spf,0.1,25,97.9,0.0
spf,0.1,26,97.9,0.0
spf,0.1,27,97.9,0.0
spf,0.1,28,97.9,0.0
spf,0.1,29,97.9,0.0
spf,0.1,30,97.9,0.0
spf,0.1,31,97.9,0.0
